sentiment,category,confidence,analysis_source,keywords,review_text
bad,service,0.95,llm,"ผิดหวัง,บริการ,ร้าน",ร้านเฮือนเพ็ญ 2 นะคะ ผิดหวังในบริการแบบฝุดๆ
neutral,atmosphere,0.8,llm,"แพง,เสิร์ฟ,ราคา,แพง,ร้าน",ร้านขนาด 1 คูหามี 2 ชั้น ภายในร้านตกแต่งเรียบง่ายธรรมดา แอบมีแมลงวันหลายตัว เมนูหลากหลายราคาแพงนิดหน่อย ข้าวมันไก่เสิร์ฟพร้อมถั่วงอกลวกเป็นเอกลักษณ์
good,food,0.95,llm,"ดี,แนะนำ,เค็ม,รอ,ร้าน",ถ้าหาร้านอาหารไทยรสชาติจัดจ้าน นัวๆ เนียนๆ ต้องไม่พลาดร้านนี้ค่ะ วันนี้จัดหนักทั้ง แกงเหลืองไหลบัวใบเหลียงผัดไข่ผักบุ้งผัดหนำเลี้ยบหมูสับ แหนมผัดไข่ สะตอผัดกุ้ง ยำถั่วพลู ยำวุ้นเส้นดีงามทุกจานจริงๆ เมนูที่ติดใจสุดคือผักบุ้งผัดหนำเลี้ยบหมูสับ เพราะความเค็มและรสสัมผัสนัวๆ แต่มีผักบุ้งมาด้วย เคี้ยวมัน กรุบกรอบดีงาม จานนี้แปลกใหม่ อีกเมนูแนะนำรือแหนมผัดไข่ อันนี้ก็เริ่ดรสชาติแหนมไม่แหลมเกินไป เห็ด...
good,atmosphere,0.6,keyword,"ดี,เร็ว,บริการ,คิว,ร้าน",ได้ยินว่าเป็นร้านดังมากๆ คิวยาวๆ พอดีแฟนอยากทานข้าวหมกไก่ มาปล่อยปลาแถวนี้ หาที่จอดรถยาวๆไปค่ะ มาถึงโชคดีมีโต้ว่างชั้นสอง ชั้นแรกน่าจะร้อนอยู่ สั่งกันเลยค่ะ หิว ข้าวหมกไก่ เฉยๆมาก ไม่มีรสใดๆ มะตะบะไก่ เฉยๆอีก มัสมั่นไก่ หว้านหวาน ไม่เหมือนมัสมั่นทั่วไป โรตี เพื่อกินกับมัสมั่น นับว่าดี แห้ง ไม่มีน้ำมันให้เห็น โรตีชอค อันนี้แฟนว่าดีสุดแล้ว ออเดอร์นับว่าเร็วใช้ได้ บริการไม่ต้องพูดถึง ทำไม่ทั...
bad,location,0.6,keyword,"อร่อย,ไม่อร่อย,เค็ม,ซอย",วันนึ้ไม่ประทับใจเลย สั่งหลายอย่าง หมูเสต๊ะ หมูเค็มปี๋ แตงกว่าขมสรุปไม่โอ ส้มตำไม่อร่อยอย่างแรง น้ำพริกหนู่ธรรมดา ข้าวซอยทำมะด๊าธรรมดา เครื่องเคียงขิ้นใหญ่เกิน สรุปเซ็งครับ ไม่รู้ยังไงวันนี้
good,atmosphere,0.6,keyword,"อร่อย,ดี,ชอบ,แนะนำ,สด",ได้โอกาสทำธุระ ที่อยุธยา เจอร้านนี้แนะนำ เลยลองดูจิ พอถึงร้าน จำได้ว่าเคยมาแล้ว ตอนเด็กๆ ร้านติดริมน้ำ คาวนี้นั้งในแพริมน้ำเลย เมนู ปลาน้ำเงินย่าง อร่อยดี ย่างแห้งดีค่ะ ปลานึ่งมะนาว อร่อยดีค่ะ ปลาสดดี น้ำพริกปลาย่าง อันนี้เลิฟมากก ซื้อกลับบ้านมาเลยย ทอดมันปลากราย อันนี้ไม่ค่อยชอบ อมน้ำมันไปหน่อยค่ะ โดยรวม น้ำพริกปลาย่างอร่อยมากค่ะ บรรยากาศดี๊ดี
good,atmosphere,0.6,keyword,"อร่อย,ดี,แนะนำ,สด,สวย","...Smith Rabbit ร้านอาหารอร่อย บรรยากาศดีสไตล์บ้านในสวน ปักหมุดร้านนี้ไว้นานพอควร วันนี้โอกาสดีมาส่งหลานสนามบินดอนเมือง มีเวลาเหลือเลยได้มาแวะทานขนม,เครื่องดื่ม ...สั่งชีสเค้ก, แพนเค้ก, ลิ้นจี่อัญชัน, ลาเต้ร้อน รสชาติดีทุกอย่าง อาหารจัดจานมาสวยงาม เรียกว่าสวยดีอร่อยด้วย ด้านราคาก็จะสูงนิดหน่อย เป็นปกติของร้านแนวนี้ ถือว่าเป็นร้านอร่อยและบรรยากาศในการทานที่ดี แนะนำครับ"
bad,price,0.6,keyword,"อร่อย,ดี,แย่,จืด,ผิดหวัง",กับบุฟเฟ่ต์ราคา999บาท จริงๆก็มีที่อื่นเป็นตัวเลือกเยอะแยะ แต่ก็ยังอยากลอง สุดท้ายก็ผิดหวังอีกตามเคย คุณภาพอาหารแต่ละอย่าง ขาดความพิถีพิถัน ทำให้รสชาติออกมาไม่ดีเท่าที่จะเป็น ไม่ใช่ว่าคุณภาพไม่ดีนะครับ แต่การปรุงอาหารต่างๆน่ะสิครับ ที่ทำให้อาหารดูแย่ลง แบบว่าบางอย่างที่ควรจะสุกกำลังดีกลับทำสุกไปเช่น เนื้อ ทำให้เนื้อเหนียว ขาดความอร่อยไป บางอย่างก็จืดไม่เข้มข้น เลยเข้าใจละว่าทำไม่ตอนสถานการณ์ปกต...
good,atmosphere,0.6,keyword,"ดี,สด,สวย,บรรยากาศ,ร้าน","ร้าน muchelin star ตั้งอยู่ที่โรงแรม U sathorn ร้านตกแต่งกึ่งๆทางการ ใช้สีหลักเป็นสีม่วง บรรยากาศค่อนข้างสวยงาม ผ่อนคลาย บริกรมีความเป็นกันเองไม่ได้ทางการมาก วันนี้มาซื้อดีล wongnai restaurant 2022 มากินเป็นมื้อกลางวัน คนไม่เยอะมาก เริ่มด้วย canape 3 คำ รสชาติดี กินแล้วสดชื่น ต่อมาเป็นขนมปัง มี 3 ชนิด ให้กินคู่กับเนย, duck fat, macademia และ olive oil เข้ากันได้ดี amouse bouche เป็นราวิ..."
good,atmosphere,0.6,keyword,"อร่อย,ดี,หอม,นุ่ม,รอ",กล้าพูดได้เลยว่านี่คือพายและเค้กมะพร้าวที่อร่อยที่สุดในชีวิต เป็นร้านเค้กโฮมเมดเล็กๆ แต่ภายในร้านบรรยากาศอบอุ่น ไปเชียงใหม่กับครอบครัวทีไรต้องแวะทาน โดยเฉพาะพายมะพร้าวครีมหนามาก สะใจสุดๆ เวลากินให้กินครีมกับเนื้อเค้กพร้อมกัน ในคำเดียว เพราะเนื้อเค้กมีความนุ่ม ส่วนครีมก็เนื้อเนียนละมุน ได้กลิ่นหอมจากมะพร้าว และยังได้ความกรุบกรอบของแมคคาเดเมียผสมกับรสชาติหวานมันของครีมที่ไม่หวานมาก กินคู่กับกาแฟร...
